,county,state_fips,county_fips,Overall Population,"White, non-Hispanic population",Black alone population,Native American alone population,Asian population,Hispanic population,Overall population in labor force,"White, non-Hispanic labor force",Native American alone labor force,Black alone labor force,Asian labor force,Hispanic labor force,Ratio of Native American participation to white participation,"Ratio of Black, Asian, and Hispanic participation to white participation",Overall managerial,"White, non-Hispanic managerial",Native American alone managerial,Black alone managerial,Asian managerial,Hispanic managerial,Ratio of Native American rates to white rates,"Ratio of Black, Asian and Hispanic rates to white rates",Overall median earnings,"White, non-Hispanic median earnings",Black alone median earnings,Native American alone median earnings,Asian median earnings,Hispanic median earnings,Overall population with BA or better,"White, non-Hispanic with BA or better",Black alone with BA or better,Native American alone with BA or better,Asian with BA or better,Hispanic with BA or better,Ratio of Native Americans to whites with BA or more education,Overall percentage below the poverty level,"White, non-Hispanic below poverty level",Black alone below poverty level,Native American alone below poverty level,Asian below poverty level,Hispanic below poverty level,Ratio of Native Americans to whites below poverty level,Overall percentage with health insurance,"White, non-Hispanic with health insurance",Black alone with health insurance,Native American alone with health insurance,Asian with health insurance,Hispanic with health insurance,Ratio of Native Americans to whites with health insurance
0,Adams County,55,001,20208,18184,524,171,144,836,8414,49.6,28.0,11.2,39.3,42.7,0.564516129032258,1.8790322580645162,1784,null,4.248447204968944,0.0,0.0,460.78740157480314,0.0022753128555176336,0.19908987485779295,28712,29860,-666666666,-666666666,33162,26250,2394,null,3.0,0.7,14.3,4.7,null,null,11.0,42.7,14.0,17.6,17.9,1.2727272727272727,95.2,95.5,93.9,72.9,98.6,87.5,0.7633507853403142
1,Ashland County,55,003,15524,12778,120,1527,87,464,7732,62.2,57.9,37.0,47.1,61.9,0.9308681672025723,2.347266881028939,2035,null,168.36153846153846,0.0,19.0,294.8494983277592,0.07263513513513513,0.11768018018018019,29646,31006,2499,22484,18618,28056,2047,null,0.0,9.1,42.6,25.9,null,null,13.3,88.9,28.3,35.8,20.0,2.1278195488721803,95.0,96.0,100.0,85.8,100.0,97.8,0.8937499999999999
2,Barron County,55,005,45182,41938,685,337,299,1184,22586,61.4,61.3,69.0,77.7,72.4,0.998371335504886,3.5684039087947883,6529,null,41.29249011857707,24.301552106430155,111.9478672985782,876.16,0.004816656308266004,0.09524549409571162,31188,32159,21346,22238,22500,27388,6635,null,1.4,12.9,35.6,7.5,null,12.1,11.6,3.7,36.8,21.4,18.4,3.172413793103448,92.4,93.0,75.8,55.4,97.3,86.2,0.5956989247311828
3,Bayfield County,55,007,15088,12728,57,1549,77,331,7348,55.9,69.9,44.4,75.0,41.7,1.2504472271914133,2.8819320214669055,2510,null,283.19302721088434,0.0,14.18421052631579,68.95833333333333,0.0945054945054945,0.023736263736263738,31137,31761,33214,26290,35833,14083,3716,null,17.6,7.8,28.8,6.5,null,null,9.2,0.0,27.4,10.0,51.9,2.9782608695652173,94.2,94.9,100.0,89.2,92.2,92.9,0.9399367755532139
4,Brown County,55,009,262559,210667,6780,6307,8324,23547,142723,68.4,64.1,59.7,73.6,76.1,0.9371345029239765,3.06140350877193,49840,null,791.758583690987,1049.0203813280737,2623.237271214642,19247.454091193,0.012861948420288899,0.3161181100631005,36479,39463,25328,25615,37037,25867,53394,null,18.9,12.6,48.0,10.4,null,9.7,6.7,38.8,29.6,10.6,20.4,4.417910447761194,94.8,96.7,93.6,77.5,96.1,82.2,0.8014477766287487
5,Buffalo County,55,011,13087,12500,72,45,6,300,7009,65.0,56.3,32.1,100.0,74.0,0.8661538461538462,3.170769230769231,2079,null,4.21875,0.0,2.0,309.0,0.0014464802314368371,0.10028929604628736,36005,36195,13125,15795,21667,34792,1827,null,1.9,28.1,0.0,14.0,null,null,8.1,68.3,0.0,0.0,9.3,0.0,94.1,94.7,100.0,100.0,100.0,64.6,1.0559662090813093
6,Burnett County,55,013,15363,13892,95,544,56,300,6934,53.1,52.5,48.1,66.7,50.8,0.9887005649717514,3.1186440677966103,2142,null,59.72315035799522,12.337662337662339,14.0,193.44262295081967,0.0222007722007722,0.06756756756756757,30670,30961,-666666666,25750,24688,24375,2492,null,0.0,9.2,47.2,34.9,null,null,11.3,42.7,27.0,7.1,27.0,2.389380530973451,92.7,93.3,95.1,82.2,87.5,92.4,0.8810289389067525
7,Calumet County,55,015,50005,45276,462,253,1185,2198,28282,71.5,72.1,70.4,61.0,72.2,1.0083916083916082,2.847552447552448,10380,null,77.49549549549549,39.6,159.31666666666666,2077.927162367223,0.006789815277084373,0.13889166250624063,43160,44063,41635,44808,41719,34588,10308,null,37.3,19.6,27.0,13.9,null,null,4.9,27.2,2.0,1.1,13.7,0.4081632653061224,96.8,97.7,90.2,73.9,95.8,83.2,0.7563971340839304
8,Chippewa County,55,017,64175,59864,986,204,893,1185,32872,64.9,10.2,18.1,82.0,43.7,0.1571648690292758,2.2157164869029278,10483,null,0.0,195.6259977194983,105.78615384615384,564.8704663212435,0.0,0.06060902770978165,35169,35471,-666666666,13750,26389,40270,10066,null,13.2,0.0,14.9,10.5,null,9.9,9.6,6.4,79.3,4.8,26.7,8.260416666666666,94.8,94.8,97.7,92.4,95.5,92.9,0.9746835443037976
9,Clark County,55,019,34668,32008,152,72,90,1752,16536,64.0,37.1,87.3,73.3,75.2,0.5796875,3.684375,4464,null,5.142857142857143,5.527272727272727,32.4,1658.2098501070664,0.0011684973124561813,0.2138350081794812,32537,33201,25833,-666666666,27500,27757,2914,null,0.0,10.3,38.5,6.0,null,null,11.3,9.6,3.4,5.6,27.6,0.30088495575221236,79.6,79.4,73.2,86.7,88.9,77.4,1.091939546599496
