"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
55001950201,55,001,950201,74.5,2.5471,3
55001950400,55,001,950400,74.6,1.3496,3
55001950501,55,001,950501,80.1,2.6382,3
55001950502,55,001,950502,76.7,2.1752,3
55001950700,55,001,950700,80,1.6983,3
55003940000,55,003,940000,75.1,1.8237,3
55003950300,55,003,950300,79.2,2.2817,3
55003950400,55,003,950400,70.6,2.1109,3
55003950500,55,003,950500,79.6,1.4097,3
55003950700,55,003,950700,79.9,1.8718,3
55003950800,55,003,950800,78,1.7321,3
55005000100,55,005,000100,84.3,1.8508,3
55005000200,55,005,000200,78.5,1.3852,3
55005000300,55,005,000300,80.1,1.1224,3
55005000400,55,005,000400,75.4,1.1356,3
55005000500,55,005,000500,80,1.5123,3
55005000600,55,005,000600,75.1,1.5434,3
55005000800,55,005,000800,78.7,1.0679,2
55005000900,55,005,000900,77.3,1.3297,3
55005001001,55,005,001001,83,2.1815,3
55005001002,55,005,001002,77.8,1.5752,3
55007960100,55,007,960100,79.9,2.0814,3
55007960200,55,007,960200,85.7,3.6356,3
55007960300,55,007,960300,78.6,0.983,3
55007960400,55,007,960400,79.5,1.3607,3
55007960600,55,007,960600,80.8,1.7733,3
55009000100,55,009,000100,77.4,2.9489,3
55009000200,55,009,000200,81.2,1.9588,3
55009000302,55,009,000302,78.4,1.9925,3
55009000303,55,009,000303,70.9,2.3031,3
55009000401,55,009,000401,73.5,1.9253,1
55009000500,55,009,000500,77.4,2.7423,3
55009000600,55,009,000600,86.7,2.4414,3
55009000700,55,009,000700,76.7,1.7598,3
55009000900,55,009,000900,75.8,1.2908,3
55009001000,55,009,001000,74.5,3.4721,3
55009001100,55,009,001100,76.3,2.6056,3
55009001200,55,009,001200,72.3,3.2144,3
55009001300,55,009,001300,73,1.5004,3
55009001400,55,009,001400,79.7,2.4834,3
55009001702,55,009,001702,76.8,1.3507,3
55009001801,55,009,001801,76.6,1.2733,3
55009001802,55,009,001802,85.8,2.5837,3
55009002001,55,009,002001,79.5,1.4141,3
55009002002,55,009,002002,79.9,2.2931,3
55009002003,55,009,002003,83.7,2.9018,3
55009010100,55,009,010100,85.1,3.0193,3
55009010201,55,009,010201,78.2,1.9216,3
55009010202,55,009,010202,76.1,1.5178,3
55009010300,55,009,010300,82,1.5444,3
55009020100,55,009,020100,80,1.4519,3
55009020203,55,009,020203,78.6,2.4722,3
55009020204,55,009,020204,83.2,2.4569,3
55009020503,55,009,020503,79.9,1.2805,3
55009020504,55,009,020504,82.3,3.9128,3
55009020600,55,009,020600,80.5,1.649,3
55009020702,55,009,020702,77,1.1907,3
55009020703,55,009,020703,82.1,2.0993,3
55009020704,55,009,020704,80.3,1.6306,3
55009020800,55,009,020800,69.9,1.7535,3
55009020900,55,009,020900,78.9,1.2775,3
55009021000,55,009,021000,78.9,1.4896,3
55009021200,55,009,021200,82,2.6221,3
55009021301,55,009,021301,80.8,1.6743,3
55009021302,55,009,021302,81.9,1.9241,1
55009021303,55,009,021303,69.4,1.4621,3
55009021304,55,009,021304,80.4,3.1348,3
55009021400,55,009,021400,83.7,1.7166,3
55009021500,55,009,021500,82.1,1.8446,3
55009021600,55,009,021600,80.9,2.7252,3
55009940001,55,009,940001,81.4,1.4083,3
55009940002,55,009,940002,81.8,1.4792,3
55009940003,55,009,940003,84.8,2.898,3
55009940004,55,009,940004,80.6,2.6303,3
55011960200,55,011,960200,74.3,1.8897,3
55011960300,55,011,960300,82.1,1.8369,3
55011960400,55,011,960400,85.5,1.9747,3
55011960500,55,011,960500,81.2,1.3793,3
55013970400,55,013,970400,81.1,1.4618,3
55013970600,55,013,970600,77.2,1.2713,3
55013970700,55,013,970700,74.3,2.5238,3
55013970800,55,013,970800,81,2.1813,3
55013970900,55,013,970900,77.5,1.81,3
55013971000,55,013,971000,79.1,1.7248,3
55015020100,55,015,020100,79.4,1.3877,3
55015020200,55,015,020200,80.6,1.1609,3
55015020303,55,015,020303,78,1.4996,3
55015020304,55,015,020304,80.8,2.1355,3
55015020306,55,015,020306,87.2,3.1894,3
55015020308,55,015,020308,82,1.928,3
55015020400,55,015,020400,84,2.0039,3
55015020500,55,015,020500,77.9,1.6131,3
55015020600,55,015,020600,77.8,1.3686,3
55015020700,55,015,020700,81.4,3.5324,2
55015020800,55,015,020800,79.6,1.8996,3
55017010100,55,017,010100,77.9,2.4947,3
55017010200,55,017,010200,77.9,1.2132,3
55017010300,55,017,010300,79.5,1.6584,3
55017010400,55,017,010400,78.7,1.4358,3
55017010500,55,017,010500,75.4,1.3837,3
55017010700,55,017,010700,84.8,2.6509,3
55017010800,55,017,010800,85,1.7217,3
55017010900,55,017,010900,80.7,1.5504,3
55017011000,55,017,011000,80.3,1.2341,3
55017011100,55,017,011100,80.9,1.1497,3
55017011200,55,017,011200,79.1,1.1198,3
55019950100,55,019,950100,76.6,1.4646,3
55019950200,55,019,950200,81.4,1.4118,3
55019950300,55,019,950300,80.2,1.2128,3
55019950400,55,019,950400,83.2,1.7742,3
55019950500,55,019,950500,84.7,1.8776,3
55019950600,55,019,950600,81.3,1.0535,3
55019950700,55,019,950700,78.1,1.6583,3
55019950800,55,019,950800,81.1,1.3959,3
55021970100,55,021,970100,82.8,1.3817,3
55021970200,55,021,970200,83.4,2.3545,3
55021970300,55,021,970300,74.4,1.2654,3
55021970400,55,021,970400,78,1.4777,3
55021970500,55,021,970500,73.3,1.303,3
55021970600,55,021,970600,85.8,1.9845,3
55021970700,55,021,970700,78.2,1.3073,3
55021970800,55,021,970800,79.4,1.3332,3
55021970900,55,021,970900,82.9,1.7706,3
55021971000,55,021,971000,79.9,1.192,3
55021971100,55,021,971100,81.9,1.6509,3
55021971200,55,021,971200,82.8,2.1777,3
55023960100,55,023,960100,76.2,1.6292,3
55023960200,55,023,960200,80.6,2.224,3
55023960300,55,023,960300,79.8,1.7999,3
55023960400,55,023,960400,80,1.6929,3
55023960500,55,023,960500,85.2,3.1814,3
55023960600,55,023,960600,76.3,2.1234,3
55025000100,55,025,000100,80.9,1.6699,3
55025000201,55,025,000201,81.4,2.416,3
55025000202,55,025,000202,88.9,3.3552,3
55025000204,55,025,000204,82.7,2.6421,3
55025000205,55,025,000205,85.2,2.4897,3
55025000300,55,025,000300,83.1,2.5707,3
55025000401,55,025,000401,83.1,2.8422,3
55025000402,55,025,000402,83.5,2.7018,3
55025000407,55,025,000407,81.5,2.5254,3
55025000501,55,025,000501,79.6,1.9025,3
55025000503,55,025,000503,85.9,3.5928,3
55025000504,55,025,000504,79,1.9137,3
55025000600,55,025,000600,81.5,3.138,3
55025000800,55,025,000800,85.4,2.8441,3
55025000901,55,025,000901,85.9,3.4779,3
55025001000,55,025,001000,80.6,2.0494,3
55025001300,55,025,001300,75.7,1.9022,3
55025001402,55,025,001402,77.1,3.3747,3
55025001403,55,025,001403,79.5,1.6361,3
55025001501,55,025,001501,80.3,2.9592,3
